"nameWithOwner","description","tag"
"6ag/BaoKanIOS","新闻demo","[]"
"StrongX/XTimer","It solves the problem that NSTimer needs to add and open runLoop manually in sub-threads, and will cause memory leak.","[""memory"",""nstimer"",""add"",""open"",""it"",""in"",""the"",""to"",""needs"",""and"",""will"",""runloop""]"
"cruzdiego/HorizontalFloatingHeaderLayout","Floating headers with horizontal scrolling layout for UICollectionView, inspired by iOS native Emoji Keyboard layout","[""keyboard"",""ios"",""layout"",""native"",""emoji"",""horizontal-scrolling"",""floating"",""scrolling"",""emoji-keyboard"",""keyboard-layout"",""horizontal"",""for"",""with"",""headers"",""ios-native""]"
"dekatotoro/PlaybackButton","iOS animation playback button inspired by the playback button of YouTube for web.","[""youtube"",""ios"",""animation"",""button"",""playback"",""for"",""the"",""ios-animation""]"
"maximbilan/SKTextureGradient","A SpriteKit SKTexture Gradient","[""gradient"",""a"",""spritekit""]"
"jerolimov/react-native-showdown","React-native component which renders markdown into a webview!","[""react-native"",""markdown"",""component"",""a""]"
"sergiocruz/react-native-connect4","ExponentJS implementation of Connect4 Game (React Native iOS)","[""native"",""implementation"",""game""]"
"devxoul/Meal","[40시간만에 Swift로 iOS 앱 만들기] 전국 초/중/고등학교 급식 조회 애플리케이션","[""ios""]"
"ermalkaleci/CarbonTransition","iOS view controller transitions in Swift","[""swift"",""ios"",""view"",""controller"",""transitions"",""in"",""view-controller""]"
"agrippa1994/Vehicle-Instruments","iOS application which communicates with a vehicle via an OBD interface (WLAN only)","[""ios"",""interface"",""application"",""with"",""vehicle"",""obd"",""ios-application"",""a"",""an""]"
"bgulanowski/Grift","OpenGLES conveniences for Swift on iOS.","[""swift"",""opengles"",""for"",""on""]"
"1amageek/Antenna","A simple BLE sample code","[""simple"",""ble"",""sample"",""sample-code"",""code"",""a""]"
"alessandrowb/WoboStaff","iOS app to display Wobo staff by timezone! (Swift 2.1.1)","[""ios"",""display"",""app"",""ios-app"",""staff"",""to""]"
"liujinlongxa/IPAArchiveScript","A shell script uses for build ios app (.ipa) and distribute to FTP server","[""ios"",""server"",""shell"",""build"",""ftp"",""app"",""script"",""ios-app"",""shell-script"",""for"",""ftp-server"",""to"",""a"",""distribute"",""and"",""build-ios""]"
"dustin-biser/MetalDemos","A place to try out Metal features for OSX and iOS","[""ios"",""metal"",""osx"",""place"",""for"",""features"",""try"",""to"",""a"",""and""]"
"Panl/Gank.lu","Gank.io client for iOS","[""ios"",""client"",""for""]"
"phimage/CallbackURLKit","Implementation of x-callback-url (Inter app communication) in swift","[""swift"",""implementation"",""app"",""in"",""x-callback-url""]"
"LukasOslislo/GooglePolylineIOS","This is a small class that allows you to decode the Google Polyline Format.","[""class"",""decode"",""this"",""google-polyline"",""polyline"",""google"",""small"",""the"",""to"",""a""]"
"aperechnev/SidebarOverlay","Yet another implementation of sidebar menu, but here your menu appears over the top view controller.","[""view"",""menu"",""sidebar"",""implementation"",""the"",""top"",""over""]"
"sakrist/Swift_OpenGL_Example",":star: Swift OpenGL Example written with swift (for Ubuntu, macOS, iOS and Android)","[""swift"",""ios"",""opengl"",""swift-opengl"",""example"",""with"",""and""]"
"Cloudox/iOS-Human-Interface-Guidelines","翻译苹果官方文档《iOS Human Interface Guidelines》","[""interface""]"
"SandeepAggarwal/CryptoppECC","CryptoppECC-Encryption/Decryption using ECC(Elliptic curve cryptography) for iOS and MacOSX","[""ios"",""macosx"",""for"",""curve"",""using"",""and""]"
"inspace-io/INSStackViewForms","INSStackViewForms - iOS library for creating dynamic UIStackView forms. Fully compatible with Swift & Obj-C.","[""swift"",""ios"",""dynamic"",""uistackview"",""library"",""ios-library"",""for"",""with"",""compatible""]"
"Frostbitee08/iOS-Touch-Tracking","RCOS Project that records each touch made in iOS","[""ios"",""touch"",""project"",""in"",""records"",""made""]"
"shibatch/sleef","SIMD Library for Evaluating Elementary Functions, vectorized libm and DFT","[""library"",""simd"",""for"",""dft"",""and""]"
"MasterGroosha/telegram-ru-translation","Локализация Telegram на русский язык","[""telegram""]"
"rajkhatri/HashtagDetector","Hashtag Detector for iOS","[""ios"",""detector"",""hashtag"",""for""]"
"TimOliver/SLVolumeButtonListener","A class for iOS that lets apps intercept events from the device's volume buttons","[""ios"",""class"",""volume"",""events"",""apps"",""volume-buttons"",""intercept"",""buttons"",""for"",""from"",""the"",""a""]"
"kaorimatz/KZSideDrawerController","A side drawer controller for iOS written in Swift","[""swift"",""ios"",""drawer"",""controller"",""side-drawer"",""for"",""in"",""a"",""side""]"
"sammeadley/responder-chain","Target-Action and the Responder Chain on iOS","[""ios"",""chain"",""the"",""on"",""and"",""target-action"",""responder""]"
"midoks/MDDropDownList","iOS swift 仿QQ菜单下拉","[""swift"",""ios"",""ios-swift""]"
"gpxlBen/beanVESC","iOS and Arduino code to control a VESC electronic speed controller","[""ios"",""arduino"",""controller"",""speed"",""control"",""code"",""to"",""a"",""and"",""electronic""]"
"ultrasaurus/ParsePlayground","iOS playground for experimenting with Parse.com data in Swift 2.0","[""swift"",""ios"",""playground"",""data"",""for"",""with"",""in""]"
"Aralekk/simple360player_iOS","Simple 360 Video player for iOS using SceneKit","[""ios"",""video"",""scenekit"",""video-player"",""player"",""simple"",""360-video"",""360"",""for"",""using""]"
"LP-Messaging/iOS-Messaging-SDK","LivePerson iOS Messaging SDK","[""sdk"",""ios"",""messaging"",""liveperson""]"
"dreamfactorysoftware/ios-swift-sdk","An address book app for iOS (Swift) showing user registration, user login, and CRUD","[""ios"",""crud"",""app"",""book"",""for"",""address"",""user"",""and"",""an"",""address-book""]"
"krishnads/Animations-in-iOS","Many kind of animations in single project here...","[""project"",""animations"",""in"",""single""]"
"NativeScript/sample-ios-embedded","Embedding the NativeScript for iOS runtime in an existing app","[""ios"",""runtime"",""nativescript"",""app"",""for"",""in"",""the"",""an"",""ios-runtime""]"
"loveway/HWCountdownDemo","A countdown demo.","[""countdown"",""a""]"
"TutorialDoctor/Pythonista-Projects","A collection of projects and tests I made with the IOS Pythonista app.","[""ios"",""tests"",""projects"",""collection"",""with"",""the"",""a"",""and"",""made"",""pythonista"",""ios-pythonista"",""i""]"
"deepakbhati99/ios_video_filters","filters are applied to the video using GPUImage. you can record your video from camera as well as choose from library","[""video"",""camera"",""record"",""library"",""filters"",""can"",""from"",""the"",""as"",""to"",""using"",""choose""]"
"hyperoslo/SwiftPackage","🏆 Template to make a Swift package","[""swift"",""package"",""template"",""make"",""to"",""a"",""swift-package""]"
"dgccom/IOS-SQLiteEncryption","ios sqlite加密","[""ios""]"
"backslash112/react-native_flux_demo","A demo using ReactNative + Flux to send message between different pages in iOS application.","[""ios"",""message"",""send"",""demo"",""flux"",""reactnative"",""in"",""to"",""pages"",""using"",""a"",""send-message"",""different""]"
"shoron/PieChartView","iOS 饼状图","[""ios""]"
"MvvmCross/MvvmCross-iOSSupport","iOS support packages for MvvmCross: The .NET MVVM framework for cross-platform solutions","[""ios"",""cross-platform"","".net"",""mvvm"",""framework"",""packages"",""for"",""support"",""mvvm-framework"",""the"",""solutions""]"
"Rag0n/TaskBerserk","TaskWarrior client app for iOS. MVVM + RxSwift","[""mvvm"",""client"",""app"",""for"",""rxswift""]"
"sashankg/Sudoku","Sudoku puzzle generator on iOS written in Swift using Algorithm X","[""swift"",""ios"",""algorithm"",""sudoku-puzzle"",""sudoku"",""puzzle"",""generator"",""in"",""x"",""on"",""using"",""puzzle-generator""]"
"Dzamir/SpriteKitUniversalMenus","SpriteKit menus that works on iOS (tap and gamecontrollers), tvOS (focus engine and gamecontrollers) and MacOS (click, keyboard and gamecontrollers)","[""keyboard"",""ios"",""macos"",""tvos"",""engine"",""menus"",""works"",""on"",""and"",""spritekit""]"
"Naruto-yq/Simulate-SinaStatus","高仿新浪微博iOS客户端，OAth授权认证，新浪微博开放平台","[]"
"u2takey/imageEncryptServer","图片加密解密app，包括一个ios app,h5 页面,和后台代码,这部分是后台和h5代码","[]"
"onmyway133/awesome-ios-animation",":umbrella: A collection of iOS animation repos","[""ios"",""animation"",""collection"",""a"",""ios-animation""]"
"onmyway133/awesome-ios-architecture",":japanese_castle: Better ways to structure iOS apps","[""ios"",""apps"",""structure"",""to""]"
"Themoji/ios","A unique way to communicate with people around the world","[""with"",""the"",""to"",""world"",""a""]"
"sendbird/sendbird-ios-framework","Sendbird Chat SDK for iOS in Objectivce-C for enablement of a rich, engaging, scalable, and real-time chat service.","[""sdk"",""ios"",""chat"",""real-time"",""chat-sdk"",""for"",""in"",""a"",""and"",""sendbird"",""sdk-for-ios""]"
"ilioner/TYZRNEditor","React-Native RichEditor for iOS","[""ios"",""react-native"",""for"",""richeditor""]"
"cameronbourke/react-cardstack"," React component to achieve a UI similar to the iOS passbook app.","[""ios"",""passbook"",""react-component"",""ui"",""react"",""component"",""the"",""similar"",""to"",""a""]"
"WMSmile/WMLinkMapAnalyzer","WMLinkMapAnalyzer,ipa包大小分析","[]"
"sideshow/apns2","⚡ HTTP/2 Apple Push Notification Service (APNs) push provider for Go — Send push notifications to iOS, tvOS, Safari and OSX apps, using the APNs HTTP/2 protocol.","[""push-notification"",""notifications"",""service"",""safari"",""push"",""provider"",""send"",""go"",""osx"",""push-notifications"",""apns"",""apple"",""notification"",""for"",""notification-service"",""the"",""to"",""using"",""and""]"
"DefinitelyBound/xamarin-ios","The repository for high quality Xamarin iOS bindings.","[""ios"",""xamarin"",""repository"",""xamarin-ios"",""quality"",""for"",""the"",""high""]"
"ermalkaleci/CarbonCardView","CarbonCardView for iOS - Amazing card view (Swift)","[""ios"",""view"",""card"",""card-view"",""for"",""amazing""]"
"hassanabidpk/searchrestaurant","Apps are built using Google Maps SDK, Geocoding and Foursquare APIs ","[""google-maps"",""maps"",""foursquare"",""google"",""apps"",""geocoding"",""apis"",""using"",""and""]"
"alltheflow/iCopyPasta","iOS app for your pasteboard feed","[""ios"",""feed"",""app"",""ios-app"",""for"",""pasteboard""]"
"Natoto/AnimationDemo","ios 动画-三个角色","[""ios""]"
"TimBao/TBSpringBoard","This is UI component which is similar to the iOS HomeScreen.","[""ios"",""this"",""ui"",""component"",""the"",""ui-component"",""similar"",""to""]"
"rocaltair/procinfo","get cpu/memory info of a process, for all platforms(windows/linux/mac/ios/android ...)","[""get"",""for"",""info"",""a""]"
"kiranpradeep/vDSPxcorr2D","FFT based 2D cross-correlation on OSX/iOS using Accelerate framework","[""2d"",""accelerate-framework"",""fft"",""framework"",""based"",""on"",""using"",""cross-correlation"",""accelerate""]"
"ilTofa/janusnotes2","A new version of a note-taking program for iOS and OS X that seriously respects your right to privacy.","[""ios"",""version"",""new"",""os"",""note-taking"",""for"",""to"",""x"",""a"",""and"",""program""]"
"appll/TodayExtension","ios 8 TodayExtension Demo","[""ios"",""demo"",""8""]"
"konyks/calorie-counter","Calorie Counter iOS App.","[""ios"",""counter"",""calorie-counter""]"
