"nameWithOwner","description","tag","newAdded","languages","topics"
"avatar282/Spotify-APKV7.3.2","A Spotify Hack to give users free premium without having to purchase it. Only for android","[""android"",""spotify"",""hack"",""free"",""purchase""]","[""android"",""spotify"",""hack"",""free"",""purchase""]","[""Go""]","[]"
"leodeleon22/PopularMovies","Discover the most popular movies playing with this Android App","[""android"",""this"",""android-app"",""app"",""movies"",""popular-movies""]","[""android"",""this"",""android-app"",""app"",""movies"",""popular-movies""]","[""Java"",""Kotlin""]","[""mvvm"",""mvvm-architecture"",""mvvm-pattern"",""mvvm-sample"",""mvvm-android"",""room"",""livedata"",""android-architecture-components"",""dagger2"",""dagger2-android"",""rxjava2"",""rxjava2-retrofit2"",""rxbinding"",""gradle"",""kotlin"",""kotlin-android"",""kotlin-android-extensions""]"
"bachhoan88/CleanArchitecture","Android Kotlin Clean Architecture ","[""android"",""kotlin"",""architecture"",""clean-architecture"",""clean"",""android-kotlin""]","[""kotlin"",""clean-architecture"",""clean"",""android-kotlin""]","[""Java"",""Kotlin"",""Ruby""]","[""kotlin-android"",""code-base"",""cleanarchitecture"",""android-components"",""data-flow"",""architecture"",""viewmodel"",""navigation"",""android"",""model-mapper"",""dependencies-injection"",""architecture-components"",""hilt-android"",""hilt""]"
"bigcartel/leonids-android","Particle system animation library","[""animation"",""system"",""library"",""animation-library"",""particle""]","[""animation"",""system"",""library"",""animation-library"",""particle""]","[""Java""]","[]"
"iunion/DJPhotoBrowser","A simple iOS photo browser","[""ios"",""browser"",""photo"",""simple"",""photo-browser""]","[""ios"",""browser"",""photo"",""simple"",""photo-browser""]","[""Objective-C""]","[]"
"6ag/BaoKanIOS","新闻demo","[]","[]","[""Swift"",""Ruby"",""Objective-C"",""CSS"",""HTML"",""JavaScript""]","[]"
"feMoraes0/food-bit-app","Restaurant application made with Flutter.","[""application"",""restaurant""]","[""restaurant""]","[""Kotlin"",""Swift"",""Objective-C"",""Dart""]","[""flutter"",""dart"",""food"",""app"",""application"",""android"",""ios""]"
"lmyl/LiteChart","A lightweight data visualization chart framework for the iOS platform. Developed by Swift, based on UIKit.","[""ios"",""chart"",""framework"",""visualization"",""data"",""lightweight"",""data-visualization""]","[""ios"",""chart"",""framework"",""visualization"",""data"",""lightweight"",""data-visualization""]","[""Swift"",""Ruby""]","[]"
"ali-sardari/FontUtils","Custom fonts in Android the easy way...","[""android"",""fonts"",""custom"",""easy"",""custom-fonts""]","[""fonts"",""custom"",""easy"",""custom-fonts""]","[""Kotlin""]","[""font"",""android"",""typeface""]"
"strumswell/oscar-weather-ios","An iOS 14 weather app with a rain radar widget written in Swift.","[""ios"",""widget"",""weather"",""app"",""weather-app"",""radar""]","[""weather-app"",""radar""]","[""Swift"",""JavaScript"",""HTML""]","[""rain-radar"",""ios"",""widget"",""oscar"",""weather"",""app""]"
