"nameWithOwner","description","tag"
"itheima1/Android","收集Android方方面面的经典知识, 最新技术.","[]"
"uavana/android","Misc Android stuff","[""android""]"
"SmartisanTech/android","Smartisan open source code for full build.(repo manifest xml)","[""manifest"",""open-source"",""source-code"",""code""]"
"Jhuster/Android","Personal android code from my technology blogs","[""android"",""blogs"",""code""]"
"WecanStudio/Android","项目搭建规范，可复用工具类，简易轮子","[]"
"XXApple/AndroidLibs",":fire:正在成为史上最全分类 Android 开源大全~~~~（长期更新 Star 一下吧）","[""android""]"
"RedBearLab/Android","BLE SDK for Android (v4.3 or above)","[""sdk"",""android"",""ble""]"
"libreliodev/android","Android Customizable Reader - Librelio Digital Publishing Suite","[""android"",""customizable""]"
"codepath/android_guides","Extensive Open-Source Guides for Android Developers","[""android"",""open-source"",""guides""]"
"hongyangAndroid/AndroidAutoLayout","[停止维护]Android屏幕适配方案，直接填写设计图上的像素尺寸即可完成适配，最大限度解决适配问题。","[]"
"Trinea/android-open-project","A categorized collection of Android Open Source Projects,  More powerful web version:","[""android"",""web"",""open-source""]"
"daimajia/AndroidImageSlider","An amazing and convenient Android image slider.","[""android"",""image"",""android-image""]"
"LittleFriendsGroup/AndroidSdkSourceAnalysis","android sdk 源码解析——旨在帮助Android开发者更好的学习Android！我们只是一群普通的程序员，但是，我们热爱分享，想热热闹闹的玩点有意义的事！如果你也想陪我们一起愉快的玩耍，欢迎加入我们！Issues认领分析文章！","[""sdk"",""android"",""android-sdk""]"
"androidannotations/androidannotations","Fast Android Development. Easy maintainance.","[""android"",""fast"",""easy""]"
"kiwibrowser/android","This repository is archived, and is now transferred to https://github.com/kiwibrowser/src","[""this"",""repository""]"
"fetlife/android","The FetLife App on Android","[""android"",""app""]"
"wirasetiawan29/Android","Android","[""android""]"
"markzhai/AndroidPerformanceMonitor","A transparent ui-block detection library for Android. (known as BlockCanary)","[""detection"",""transparent"",""library"",""detection-library""]"
"aporter/coursera-android","Source Code for Android Course Example Applications","[""android"",""example"",""android-course"",""source-code"",""course"",""code""]"
"LiquidSmooth-Old/android","LiquidSmooth Manifest","[""manifest""]"
"EliFUT/android","EliFUT is a ""football manager"" style Android game","[""android"",""game"",""style""]"
